OrganizationID;"Organization Name";"Headquarters Location";LinkedIn
the-best-coffee-in-brazil;"The Best Coffee in Brazil";"Poços de Caldas, Sao Paulo, Brazil";"E-Commerce, Food and Beverage, Internet"
the-coffee-match;"The Coffee Match";"São Paulo, Sao Paulo, Brazil";"Coffee, Food and Beverage, Internet, Mobile, Restaurants"
the-f-ciência;F.Ciência;"Minas Gerais, Acre, Brazil";"E-Commerce, GPS, Marketing, Software, Web Development"
the-fixt;"The FIXT";"Porto Alegre, Rio Grande do Sul, Brazil";"Information Technology, Mobile, Web Development"
the-hubi;"The HUBi";"São Paulo, Sao Paulo, Brazil";"Credit, Digital Marketing, Employee Benefits, Loyalty Programs, Sales"
the-openbridge-soluções-de-software;"The OpenBridge Soluções de Software";"Belo Horizonte, Minas Gerais, Brazil";"Apps, Mobile, Web Development"
the-xrdb-com;"The XRDb.com";"São Paulo, Sao Paulo, Brazil";"Database, Online Portals, Web Development"
thinc-ce05;THINC.;"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Technology"
think-viral;"Think Viral";"São Paulo, Sao Paulo, Brazil";Internet
thinkbox-games-brazil;"ThinkBox Games Brazil";"João Pessoa, Bahia, Brazil";"E-Learning, EdTech, Education, Online Games, Software"
thinkconsulting;ThinkConsulting;"São Paulo, Sao Paulo, Brazil";"Big Data, Business Intelligence, Consulting, Information Services, Information Technology"
thinkr;Thinkr;"Rio De Janeiro, Rio de Janeiro, Brazil";"Mobile, Photo Sharing, Social Media"
thorus-aero-service;"THORUS Aero Service";"Campo Largo, Parana, Brazil";"Aerospace, Mechanical Engineering, Service Industry"
three-monkeys-beer;"Three Monkeys Beer";"Rio De Janeiro, Rio de Janeiro, Brazil";"Craft Beer, Distillery, Food and Beverage, Restaurants, Wine And Spirits"
ti-talentos;"TI Talentos";"São Paulo, Sao Paulo, Brazil";"Employment, Information Technology, Recruiting"
ticket-agora;"Ticket Agora";"São Paulo, Sao Paulo, Brazil";"Event Management, Events, Information Services, Sports, Ticketing"
ticketsweb;TicketsWeb;"Goiânia, Goias, Brazil";"Digital Marketing, Internet, SaaS, Ticketing"
ticketuai;Ticketuai;"Contagem, Minas Gerais, Brazil";"Advertising, Digital Marketing, Marketing"
tiflux;TiFlux;"Joinville, Santa Catarina, Brazil";"Information and Communications Technology (ICT), Information Services, Information Technology, IT Management, SaaS, Software, Telecommunications"
tikal-tech;"TIKAL TECH";"San Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Information Services, Legal, SaaS"
tild-technology;"TILD Technology";"Recife, Bahia, Brazil";"Information Technology, Software, Web Design"
tilix-digital;"Tilix Digital";"São Paulo, Sao Paulo, Brazil";"Apps, Billing, Data Integration, Information Technology, Ticketing"
tillify;Tillify;"Brasil, Sao Paulo, Brazil";"E-Commerce, Payments, Point of Sale"
tilt;TILT;"Barra Da Tijuca, Rio de Janeiro, Brazil";"Hotel, Travel, Travel Accommodations"
timbira;Timbira;"São Caetano Do Sul, Sao Paulo, Brazil";"Consulting, Information Technology"
timesapp-io;TimesApp.io;"São Paulo, Sao Paulo, Brazil";"Human Resources"
timokids;Timokids;"São Paulo, Sao Paulo, Brazil";"Apps, EdTech, Edutainment, Language Learning, Mobile Apps"
tindin-educação-financeira;"Tindin Educação Financeira";"Maringá, Parana, Brazil";"B2C, E-Learning, EdTech, Education, SaaS"
tiny;Tiny;"Bento Gonçalves, Sao Paulo, Brazil";"Electronics, Enterprise Resource Planning (ERP), Enterprise Software, Small and Medium Businesses, Software"
tippz-mobile;"Tippz Mobile";"Goiânia, Goias, Brazil";"Information Services, Internet, Mobile"
tiquei;Tiquei;"São Paulo, Sao Paulo, Brazil";"Finance, Information Technology, Internet"
tiquetaque;TiqueTaque;"Alegre, Pernambuco, Brazil";"Biometrics, Electronics, Real Time"
tissuelabs;TissueLabs;"São Paulo, Sao Paulo, Brazil";"3D Printing, 3D Technology, Biotechnology, Life Science, Medical, Therapeutics"
tivea;TIVEA;"Porto Alegre, Rio Grande do Sul, Brazil";"Crowdfunding, Internet, Mobile, Software, Sports"
tnh-health;"TNH Health";"Rio Negrinho, Santa Catarina, Brazil";"Artificial Intelligence, Health Care, Health Insurance, mHealth"
toca-de-aluguel;"Toca de Aluguel";"Porto Alegre, Rio Grande do Sul, Brazil";"Communities, Pet, Service Industry"
toca-logo;"Toca Logo";"Barra Do Piraí, Rio de Janeiro, Brazil";"B2B, B2C, Events, Marketplace, Music, Music Streaming"
tocalivros;TocaLivros;"São Paulo, Sao Paulo, Brazil";"Audio, Audiobooks, E-Commerce, Internet, Music"
todo-cartões;"Todo Cartões";"Porto Alegre, Rio Grande do Sul, Brazil";"Credit Cards, Gift Card, Retail"
togarantido;ToGarantido;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Financial Services, Insurance, Internet"
tokhelp;Tokhelp;"Goiânia, Goias, Brazil";"Credit Cards, Finance, Financial Services, FinTech, Social Assistance"
tolife;ToLife;"Belo Horizonte, Minas Gerais, Brazil";"Information Services, Information Technology, Innovation Management"
tolitech-code-generator;"Tolitech Code Generator";"São Paulo, Sao Paulo, Brazil";"Web Development"
tomticket;TomTicket;"Passo Fundo, Sao Paulo, Brazil";"Customer Service, Internet, Messaging, SaaS"
tool-be;Tool-be;"São Paulo, Sao Paulo, Brazil";Education
toorista;Toorista;"São Paulo, Sao Paulo, Brazil";"Tourism, Travel"
tootip;Tootip;"Uberlândia, Minas Gerais, Brazil";"Cloud Computing, Internet of Things, Mobile, Software"
topchamps;Topchamps;"Rio De Janeiro, Rio de Janeiro, Brazil";"Employee Benefits, Human Resources, Software"
toppay;TopPay;"São Paulo, Sao Paulo, Brazil";"Financial Services, Payments"
torcedores-com;Torcedores;"São Paulo, Sao Paulo, Brazil";"Content, Millennials, News, Publishing, Sports"
toro-investimentos;"Toro Investimentos";"Belo Horizonte, Minas Gerais, Brazil";"Finance, Financial Services, FinTech, Venture Capital"
torpedomais;Torpedomais;"Bauru, Sao Paulo, Brazil";"B2C, E-Commerce, Media and Entertainment, Telecommunications, Wireless"
torq;Torq;"São Paulo, Sao Paulo, Brazil";"Consulting, Information Technology"
totalpass-82cb;TotalPass;"São Paulo, Sao Paulo, Brazil";"Apps, Fitness, Marketplace, Mobile, Wellness"
totalvoice;TotalVoice;"Palhoça, Santa Catarina, Brazil";"Communications Infrastructure, Information Technology, SMS, Software, Telecommunications"
toth-lifecare;"Toth Lifecare";"Porto Alegre, Rio Grande do Sul, Brazil";"Health Care, Medical, Medical Device"
touts;Touts;"Rio De Janeiro, Rio de Janeiro, Brazil";"Art, E-Commerce, Retail"
townsq;TownSq;"Porto Alegre, Rio Grande do Sul, Brazil";"Management Consulting, Mobile, Real Estate, SaaS, Software"
trabalhoja;Trabalhoja;"Rio De Janeiro, Rio de Janeiro, Brazil";"Human Resources, Information Technology, Recruiting, Robotics, Software"
trace-pack;"TRACE PACK";"Londrina, Parana, Brazil";"AgTech, Asset Management, Consumer Electronics, Product Management"
tracel;Tracel;"Xerém, Rio de Janeiro, Brazil";"Consumer Electronics, Electronics, Energy, Sustainability"
track-nme;Track`nMe;"São Paulo, Sao Paulo, Brazil";"Internet, Internet of Things, Telecommunications"
trackerup;TrackerUp;"São Paulo, Sao Paulo, Brazil";"Field Support, Productivity Tools"
trackmob;Trackmob;"Curitiba, Parana, Brazil";"Mobile, Non Profit, Software"
tracksale;Tracksale;"Belo Horizonte, Minas Gerais, Brazil";"Business Intelligence, Customer Service, SaaS"
tracktoor;Tracktoor;"Rio, Rio de Janeiro, Brazil";"Facilities Support Services"
trade-force;"Trade Force";"São Paulo, Sao Paulo, Brazil";"Apps, Mobile, Mobile Devices, Retail, Trading Platform"
trade-radar;"Trade Radar";"São Paulo, Sao Paulo, Brazil";"Finance, Marketplace"
trademap-8c8e;TradeMap;"São Paulo, Sao Paulo, Brazil";
tradersclub;TradersClub;"São Paulo, Sao Paulo, Brazil";"E-Commerce, FinTech, Information Technology, Internet"
trading-store;"Trading Store";"Pôrto União, Santa Catarina, Brazil";"Information Technology, Internet, Software, Web Design, Web Development"
trage;Trage;"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Finance, FinTech"
trampos-co;trampos.co;"São Paulo, Sao Paulo, Brazil";"Employment, Human Resources, Internet, Recruiting"
transfeera;Transfeera;"Joinville, Santa Catarina, Brazil";"Banking, Finance, FinTech"
transkids-app;"Transkids App";"São Paulo, Sao Paulo, Brazil";"Children, Education, Marketplace, Mobile Apps, Transportation"
transpon-com;Transpon.com;"Curitiba, Parana, Brazil";"Freight Service, Logistics, Transportation"
trapo-tri;"Trapo Tri";"Rio Grande Do Sul, Rio Grande do Sul, Brazil";"E-Commerce, Fashion, Internet"
traust-it;Traust.it;"Porto Alegre, Rio Grande do Sul, Brazil";"Information Technology, Mobile Apps, Web Apps"
travel-corporate;"Travel Corporate";"Cuiabá, Mato Grosso, Brazil";"Information Services, Information Technology, Software, Travel"
trc-digital;"TRC Digital";"Curitiba, Parana, Brazil";"Billing, Email Marketing, Financial Services, Social Network, Software"
treasy;Treasy;"Joinville, Santa Catarina, Brazil";"Computer, Enterprise Resource Planning (ERP), Financial Services, Predictive Analytics, Software"
tree-intelligence;"Tree Intelligence";"São Paulo, Sao Paulo, Brazil";Consulting
treebos;Treebos;"Guarapari, Espirito Santo, Brazil";"Agriculture, Crowdfunding, Sustainability"
treelog;Treelog;"São Paulo, Sao Paulo, Brazil";"Delivery, Logistics, Supply Chain Management, Transportation"
treeunfe;Treeunfe;"Maringá, Parana, Brazil";"B2B, Document Management, SaaS"
treicker;Treicker;"Belo Horizonte, Minas Gerais, Brazil";"Data Integration, Delivery, Human Computer Interaction, SaaS, Software"
treinalink;TreinaLink;"São Bernardo Do Campo, Sao Paulo, Brazil";"Automotive, E-Learning, Training"
treinar-mais;"Treinar Mais";"Juiz De Fora, Minas Gerais, Brazil";"Corporate Training, E-Learning, Education, Software"
treinar-me;Treinar.me;"São Paulo, Sao Paulo, Brazil";"Fitness, Internet, Training"
treinus;Treinus;"Minas Gerais, Acre, Brazil";"Fitness, Health Care, Wellness"
trekos-cacarekos;"Trekos & Cacarekos";"Niterói, Amazonas, Brazil";"E-Commerce, Gift, Retail, Sales"
triacco;Triacco;"São Paulo, Sao Paulo, Brazil";"Apps, Internet"
triadworks;TriadWorks;"Fortaleza, Mato Grosso do Sul, Brazil";"Continuing Education, E-Learning, EdTech, Education, Information Technology"
tricae-com-br;Tricae;"São Paulo, Sao Paulo, Brazil";"Elderly, Toys"
tricam;Tricam;"Luzerna, Santa Catarina, Brazil";"Commercial, Industrial, Renewable Energy"
triee;Triee;"Curitiba, Parana, Brazil";"Business Information Systems, Consulting, Corporate Training, Personal Development, Recruiting"
triibo;Triibo;"São Paulo, Sao Paulo, Brazil";"Information Services, Information Technology, Mobile Apps"
triider;Triider;"Porto Alegre, Rio Grande do Sul, Brazil";"Events, Home Services, Payments, Professional Services, Service Industry"
trinks-com;Trinks.com;"Rio De Janeiro, Rio de Janeiro, Brazil";"Beauty, Mobile Apps"
trio;TRiO;"São Paulo, Sao Paulo, Brazil";"Advertising, Film, Media and Entertainment, Music, Photography"
trip2gether;trip2gether;"Brasília, Rio Grande do Norte, Brazil";"Leisure, Social Media, Software, Tourism, Travel"
tripbook;Tripbook;"Fortaleza, Mato Grosso do Sul, Brazil";"Apps, iOS, Travel"
triplit;Triplit;"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Services, Tourism, Travel"
tripoli-sistemas;"Tripoli Sistemas";"Rio De Janeiro, Rio de Janeiro, Brazil";"B2C, E-Commerce, Internet of Things, Mobile Apps, Software"
tripppin;Tripppin;"São Paulo, Sao Paulo, Brazil";"E-Learning, EdTech, Education, Language Learning, Travel, Virtual Reality"
tripr-1f38;Tripr;"São Paulo, Sao Paulo, Brazil";"Leisure, Tourism, Travel"
tripseguros-com;TripSeguros.com;"Porto Alegre, Rio Grande do Sul, Brazil";"Insurance, Internet, Logistics, Travel"
tripys;Tripys;"Rio De Janeiro, Rio de Janeiro, Brazil";"E-Commerce, Tourism, Travel"
triunfei;triunfei;"São Paulo, Sao Paulo, Brazil";"Banking, Financial Services, Internet"
trivium-951a;Trivium;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, CRM, EdTech, Education, Information Services, Information Technology, Small and Medium Businesses"
trocados;Trocados;"Manaus, Amazonas, Brazil";"Apps, E-Commerce, Finance, Financial Services"
trocafone;TROCAFONE;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Electronics, Mobile, Shopping"
trocalar;Trocalar;"Florianópolis, Santa Catarina, Brazil";"Real Estate"
tróchia;Tróchia;"São Paulo, Sao Paulo, Brazil";"Asset Management, Credit, Debit Cards, Financial Services"
troco-simples;"Troco Simples";"Florianópolis, Santa Catarina, Brazil";"Information Technology"
trucadão;Trucadão;"Campo, Mato Grosso do Sul, Brazil";"Automotive, Construction, Marketplace"
truckhelp;TruckHelp;"Curitiba, Parana, Brazil";"Automotive, Customer Service, Logistics, Professional Services"
truckpad;TruckPad;"São Paulo, Sao Paulo, Brazil";"Car Sharing, Freelance, Sharing Economy, Transportation"
trustin-660a;Trustin;"São Carlos, Rondonia, Brazil";"Consulting, Management Consulting, Project Management"
trustsign;TrustSign;"São José Dos Campos, Sao Paulo, Brazil";"Cloud Security, Information Technology, Risk Management, Security, Software"
trustvox;Trustvox;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Retail, Shopping"
tryideas;Tryideas;"Marechal Cândido Rondon, Parana, Brazil";"E-Commerce Platforms, Information Technology, Internet, Management Information Systems, Software"
trypic;TryPic;"Florianópolis, Santa Catarina, Brazil";"Communities, Marketing, Photography"
tudo-gostoso-internet;"Tudo Gostoso Internet";"Curitiba, Parana, Brazil";"Food and Beverage, Information Technology, Internet, Mobile Apps, Software"
tullli-educação;"Tullli Educação";"Rio De Janeiro, Rio de Janeiro, Brazil";"B2B, Consulting, Education, Enterprise Resource Planning (ERP), SaaS"
tulz;Tulz;"Santa Cruz Do Sul, Rio Grande do Sul, Brazil";"Analytics, Consumer Research"
tunad;TunAd;"São Paulo, Sao Paulo, Brazil";"Big Data, Information Services, Information Technology, Media and Entertainment, TV"
tuneduc;Tuneduc;"Brasil, Sao Paulo, Brazil";"EdTech, Information Services, Software"
turbi-car-on-demand;"Turbi Car On Demand";"São Paulo, Sao Paulo, Brazil";"Car Sharing, Mobile"
turijobs;Turijobs;"Barcelona, Rio Grande do Norte, Brazil";"Employment, Hospitality, Human Resources, Internet, Recruiting, Travel"
tutu-digital;"TuTu Digital";"São Paulo, Sao Paulo, Brazil";"Financial Services, FinTech, Impact Investing, Lending, Marketplace, Peer to Peer"
tv-doutor;"TV Doutor";"Campinas, Goias, Brazil";"B2B, B2C, Personal Health, SaaS, Wellness"
tv-map;"TV Map";"São Paulo, Sao Paulo, Brazil";"Analytics, Information Services, Social Media"
tv-no-bar;"TV no bar";"Rio De Janeiro, Rio de Janeiro, Brazil";"Hospitality, Media and Entertainment, Restaurants, TV, Video"
twist-systems;"TWIST Systems";"Rio De Janeiro, Rio de Janeiro, Brazil";"Cloud Computing, Data Integration, Information Technology"
typo-graphic-posters;"Typo/Graphic Posters";"São Paulo, Sao Paulo, Brazil";"Non Profit"
tysdo;Tysdo;"Belo Horizonte, Minas Gerais, Brazil";"Apps, E-Commerce, Mobile, Social Media, Software"
u-sit;u.sit;"São Paulo, Sao Paulo, Brazil";"CRM, Mobile, Restaurants, SaaS, SMS, Software"
uai-paguei;"Uai Paguei";"Uberlândia, Minas Gerais, Brazil";"Advertising, Content, Creative Agency, Media and Entertainment, Small and Medium Businesses"
uall;Uall;"Caxias Do Sul, Rio Grande do Sul, Brazil";"B2C, Education, Higher Education, Marketplace, Search Engine"
uau-fi;Uau-Fi;"Araçatuba, Sao Paulo, Brazil";"Apps, Information Technology, Internet, Mobile, Software"
uau-studios;"Uau Studios";"Campina Grande, Paraiba, Brazil";"Education, Gaming, Mobile"
ubbi-sports;"Ubbi Sports";"Cascavel, Sao Paulo, Brazil";"Internet, Marketing, News, Social Network, Sports"
ubee;"In Loco";"Pernambuco, Pernambuco, Brazil";"Advertising, Advertising Platforms, Analytics, Big Data, Information Technology, Location Based Services, Mobile, Mobile Advertising"
ubicity-inteligência-de-dados;"UbiCity Inteligência de Dados";"Brasília, Rio Grande do Norte, Brazil";"Analytics, Big Data, Information Technology, Machine Learning, Software"
ubistart;UBISTART;"Caxias Do Sul, Rio Grande do Sul, Brazil";"Consulting, Information Technology, Mobile Apps, Online Portals, Personal Branding"
ubivis;UBIVIS;"Curitiba, Parana, Brazil";"Information Technology, Internet of Things, Machine Learning, Software"
uboi;UBoi;"São Paulo, Sao Paulo, Brazil";"Agriculture, AgTech, Farming, Livestock, Marketplace"
ubook;Ubook;"Rio De Janeiro, Rio de Janeiro, Brazil";"Apps, Information Services, Media and Entertainment, Music Streaming"
ubots;Ubots;"Porto Alegre, Rio Grande do Sul, Brazil";"Artificial Intelligence, Information Technology, Messaging"
ucondo;uCondo;"Curitiba, Parana, Brazil";"Android, iOS, Mobile, SaaS, Software"
uconecte;uConecte;"Belo Horizonte, Minas Gerais, Brazil";"Consumer Lending, Credit, Financial Services, FinTech"
ueek-agência-digital;"Ueek Agência Digital";"Lages, Santa Catarina, Brazil";"Advertising, Internet, Marketing, SEO, Web Design, Web Development"
uello;Uello;"São Paulo, Sao Paulo, Brazil";"Delivery, E-Commerce, Last Mile Transportation, Logistics, Supply Chain Management"
uex-user-education-experience;"UEX - User Education Experience";"Porto Alegre, Rio Grande do Sul, Brazil";"Collaboration, Education, Internet"
ufrilla-freelancers-on-demand;"ufrilla. | freelancers on demand.";"Belo Horizonte, Minas Gerais, Brazil";"Communities, Education, Human Resources"
uglobally;uGlobally;"Curitiba, Parana, Brazil";"Business Development, Communities, Software"
ugly;Ugly;"Patos De Minas, Minas Gerais, Brazil";"Agriculture, Information Technology, Marketplace"
uhmane;Vaipe;"São Paulo, Sao Paulo, Brazil";"Human Resources, Information Technology, Internet, Recruiting, Software"
uhuu;Uhuu;"Porto Alegre, Rio Grande do Sul, Brazil";"Event Management, Events, Media and Entertainment, Ticketing"
uikits;UIkits;"Criciúma, Parana, Brazil";"B2C, Consumer, Human Computer Interaction, Information Technology, Software"
ukor;UKOR;"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Personal Health, SaaS, Wellness"
ulevel;Ulevel;"Belo Horizonte, Minas Gerais, Brazil";"B2B, Information Technology, Internet, Mobile, SaaS"
ulleragro;UllerAgro;"Três Pontas, Minas Gerais, Brazil";"Agriculture, AgTech, Apps, Farming, SaaS"
um-telecom;"Um Telecom";"Recife, Bahia, Brazil";"Internet, Telecommunications"
umani;Umani;"Belo Horizonte, Minas Gerais, Brazil";"Business Development, Business Information Systems, Consulting, Insurance"
umanni;Umanni;"São Paulo, Sao Paulo, Brazil";"Business Information Systems, Human Resources, Software"
umarket;UMarket;"Americana, Sao Paulo, Brazil";E-Commerce
umbler;Umbler;"Gravataí, Rio Grande do Sul, Brazil";"Information Technology"
umov-me;uMov.me;"Brasil, Sao Paulo, Brazil";"Computer, Mobile Apps, Software"
unbroken;Unbroken;"Porto Alegre, Rio Grande do Sul, Brazil";"Consulting, Cyber Security, Security"
unibov;UniBov;"Blumenau, Santa Catarina, Brazil";"Agriculture, AgTech, Farming, SaaS, Software"
unicaronas;UniCaronas;"Brasil, Sao Paulo, Brazil";"Automotive, Car Sharing, CleanTech"
unicase;Unicase;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Manufacturing, Peer to Peer, Product Design, Retail"
único-s-a;"Único S/A";"Pinheiros, Sao Paulo, Brazil";"Consulting, Information Technology, Marketing"
unicorns-factory;"Unicorns Factory";"Mauá, Sao Paulo, Brazil";"Computer, Information Technology, Software"
unid-cinemídia;"Unid Cinemídia";"Maringá, Parana, Brazil";"Advertising, Art, B2B, Digital Media, Film"
unigeo;Unigeo;"Goiânia, Goias, Brazil";Farming
unight-2;Unight;"Chile, Minas Gerais, Brazil";"Mobile, Nightlife, Social Media"
union-intelligency-technology;"Union Intelligency Technology";"São Paulo, Sao Paulo, Brazil";"Enterprise, Information Technology, Infrastructure"
unipay;UniPay;"Brasil, Sao Paulo, Brazil";"Internet, Mobile, Payments"
unirádio;UniRádio;"Belo Horizonte, Minas Gerais, Brazil";"Advertising, Advertising Platforms, Broadcasting, Information Technology"
unisec-tecnologia;"UNISEC Tecnologia";"Florianópolis, Santa Catarina, Brazil";"B2B, B2C, Cyber Security, Network Security, SaaS"
unitec-semicondutores;"Unitec Semicondutores";"Ribeirão, Goias, Brazil";"Electronics, Manufacturing"
universaúde;UniverSaúde;"Santo André, Sao Paulo, Brazil";"Education, Health Care, Medical, SaaS, Software"
universidados;Universidados;"Rio De Janeiro, Rio de Janeiro, Brazil";"B2B, Data Center, Education, Higher Education, Sales"
universo-de-possibilidades;"Universo de Possibilidades";"Salvador, Sao Paulo, Brazil";"B2C, Consulting, Education, SaaS, Training"
universo-mobile;"Fábrica de Aplicativos";"São Paulo, Sao Paulo, Brazil";"Android, Apps, Education, iOS, Mobile, Software"
unlocking-the-power-of-women-for-innovation-and-transformation;"Unlocking the Power of Women for Innovation and Transformation";"São Paulo, Sao Paulo, Brazil";"Consulting, Information Technology"
unus-market;"Unus Market";"Rio De Janeiro, Rio de Janeiro, Brazil";"Enterprise, Retail, Shopping"
uol-host;"UOL HOST";"Pinheiros, Sao Paulo, Brazil";"Web Hosting"
uoldiveo;"UOL DIVEO";"São Paulo, Sao Paulo, Brazil";"Cloud Infrastructure, Information Services, Information Technology, Infrastructure, Outsourcing, Telecommunications"
up-estate;"Up Estate";"Belo Horizonte, Minas Gerais, Brazil";"Real Estate"
up2place-digital;"UP2Place Digital";"São Paulo, Sao Paulo, Brazil";"Consulting, Digital Marketing, Information Technology"
upando;Upando;"São Paulo, Sao Paulo, Brazil";"Crowdsourcing, Gaming, Internet, Marketplace, Software"
upbeat-games;"Upbeat Games";"São Paulo, Sao Paulo, Brazil";"Gaming, Mobile"
upfish;Upfish;"São Paulo, Sao Paulo, Brazil";AgTech
upflux;UpFlux;"Joinville, Santa Catarina, Brazil";"Analytics, Artificial Intelligence, Information Services, Information Technology, SaaS, Software"
upgradio;Upgradio;"Rio De Janeiro, Rio de Janeiro, Brazil";"Professional Networking, Recruiting"
uplexis-tecnologia;"UpLexis Tecnologia";"São Paulo, Sao Paulo, Brazil";"Big Data, Human Resources, Information and Communications Technology (ICT), Information Technology, Software"
uplink-conteudo-digital;"Uplink Conteudo Digital";"Manaus, Amazonas, Brazil";"Content, Digital Media, Publishing"
upnid;Upnid;"Barra Do Piraí, Rio de Janeiro, Brazil";"Information Services, Information Technology, Publishing, Sales"
uppna;UPPNA;"São Paulo, Sao Paulo, Brazil";"Internet, Mobile"
uppoints;UpPoints;"Florianópolis, Santa Catarina, Brazil";"Advertising, Analytics, Artificial Intelligence, B2B, Big Data, Brand Marketing, Cloud Computing, Predictive Analytics, Software"
upraise;Upraise;"São Paulo, Sao Paulo, Brazil";"Enterprise Software, Information Technology, Internet, Social Entrepreneurship, Software"
upwell-web-performance;"Upwell Web Performance";"Curitiba, Parana, Brazil";"Analytics, Apps, Information Services"
urba-me;"Urba me";"Rio De Janeiro, Rio de Janeiro, Brazil";"Apps, Location Based Services, Mobile Apps, Social Media, Software"
urbe-me;URBE.ME;"Porto Alegre, Rio Grande do Sul, Brazil";"Construction, Crowdfunding, Real Estate"
urbit;Urbit;"São Paulo, Sao Paulo, Brazil";"B2B, CivicTech, Construction, E-Commerce, Information Technology"
urbotip;Urbotip;"Pelotas, Rio Grande do Sul, Brazil";"Communities, Information Technology, Social Network"
uruca-game-studio;"Uruca Game Studio";"Brasília, Rio Grande do Norte, Brazil";"Gamification, Gaming, Information Technology, Online Games, Software"
use-coworking-cuiabá;"USE Coworking Cuiabá";"Cuiabá, Mato Grosso, Brazil";"Commercial Real Estate, Facilities Support Services, Internet"
useastro;Useastro;"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Education, Music, SaaS"
usebike;UseBike;"São Paulo, Sao Paulo, Brazil";"Cycling, Rental, Transportation"
uselets;QBazar;"São Pedro, Espirito Santo, Brazil";"E-Commerce, Fashion"
usemobile;Usemobile;"Ouro Prêto, Minas Gerais, Brazil";"B2B, B2C, Information Technology, Marketplace, Mobile"
ustore;Ustore;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Storage, Information Technology"
uvaia;Uvaia;"São Paulo, Sao Paulo, Brazil";"Collaboration, Project Management, Social Media"
ux-human-behavior;"UX Human Behavior";"Florianópolis, Santa Catarina, Brazil";"Market Research, Neuroscience, UX Design"
uzzo;UZZO;"São Paulo, Sao Paulo, Brazil";"B2C, E-Commerce, Finance, FinTech, Payments"
vá-de-táxi;"Vá de Táxi";"São Paulo, Sao Paulo, Brazil";"Car Sharing, Internet, Ride Sharing, Software, Transportation"
vaast-technology;"Vaast Technology";"Santa Catarina, Sao Paulo, Brazil";"Information Technology"
vaga-compartilhada;"Vaga Compartilhada";"Porto Alegre, Rio Grande do Sul, Brazil";"Communities, Real Estate, Sharing Economy"
vaifácil;VaiFácil;"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Technology, Logistics, Software, Supply Chain Management, Transportation"
vaimoto-tecnologia-urbana;"VaiMoto Tecnologia Urbana";"São Paulo, Sao Paulo, Brazil";"Internet, Logistics, Supply Chain Management"
vaivolta;VaiVolta;"São Paulo, Sao Paulo, Brazil";"Building Material, Construction, Online Portals"
vakinha;Vakinha;"Porto Alegre, Rio Grande do Sul, Brazil";"Crowdfunding, Internet, Online Portals"
vale-presente;"Vale Presente";"São Paulo, Sao Paulo, Brazil";"Gift Card, Printing, Retail"
valência-energia-sustentável;"Valência- Energia Sustentável";"São Leopoldo, Rio Grande do Sul, Brazil";"CleanTech, Consulting, Energy, GreenTech, Solar"
vality-3183;Vality;"Florianópolis, Santa Catarina, Brazil";"Financial Services, FinTech, Information Technology"
valmont-propaganda;"Valmont Propaganda";"Uberlândia, Minas Gerais, Brazil";"E-Commerce, Internet"
valoreasy-consultoria;"Valoreasy Consultoria";"São Paulo, Sao Paulo, Brazil";"Angel Investment, B2B, Business Development, Finance, SaaS"
vambora-app;"Vambora App";"Santa Maria, Rio Grande do Sul, Brazil";"Information Technology, Mobile Apps, Public Transportation, Transportation"
vamos-captar;"Vamos Captar?";"Lagoa Santa, Minas Gerais, Brazil";"Finance, Funding Platform, Training"
varejo-360;"Varejo 360";"Campinas, Goias, Brazil";"Business Intelligence, Market Research, Professional Services"
varejonline;VarejOnline;"Joinville, Santa Catarina, Brazil";"Enterprise Resource Planning (ERP)"
vc-x-solutions;"VC-X Solutions";"Florianópolis, Santa Catarina, Brazil";"Information Technology, Project Management, Telecommunications"
vcerto;VCerto;"São Paulo, Sao Paulo, Brazil";"Biometrics, Information Technology, Risk Management"
vecto-mobile;"Vecto Mobile";"Olímpia, Sao Paulo, Brazil";"Mobile, Telecommunications"
veduca;"Veduca Edtech";"São Paulo, Sao Paulo, Brazil";"E-Learning, EdTech, Education, MOOC, Universities"
vegasite;VegaSite;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Food and Beverage, Organic Food, Product Search"
velbrax-agro;"Velbrax Agro";"Belo Horizonte, Minas Gerais, Brazil";"Agriculture, AgTech, Machinery Manufacturing"
velivery;Velivery;"Porto Alegre, Rio Grande do Sul, Brazil";"Food and Beverage, Food Delivery, Online Portals"
veltec;Veltec;"Londrina, Parana, Brazil";"Fleet Management"
velum-information-technology;"Velum Marketing Digital";"Brasília, Rio Grande do Norte, Brazil";"Digital Media"
